"Treat" "tot04" "tot08" "tot12" "adt04" "adt08" "adt12" "length" "width" "speed" "shoulder" "driveways" "intersections" "curves" "curvature"
"119" 0 0 0 1 977 898 844.333333333333 0.254 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"120" 0 0 0 0 977 898 844.333333333333 0.504 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 9.07712
"121" 0 0 0 0 977 898 844.333333333333 0.396 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 13.3464
"122" 0 0 0 0 977 898 844.333333333333 0.574 "<= 20" "High" "<= 3" "> 10" ">= 1" ">= 1" 39.275
"123" 0 0 1 0 5126 5207 4297.83333333333 0.564 "<= 20" "High" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 4.29182
"124" 0 0 1 1 5516 5656 5420.66666666667 0.611 ">= 24" "High" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 5.83893
"125" 0 3 5 1 9218 9560 10844.3333333333 0.58 "<= 20" "Low" "<= 3" "> 10" ">= 1" ">= 1" 4.93498
"126" 0 0 0 1 6125 7611 7080 0.373 "<= 20" "High" "> 6" "> 10" ">= 1" ">= 1" 0.992282
"127" 0 0 3 0 6125 7611 7080 0.484 "<= 20" "High" "> 6" "> 0 and <= 10" "None" "None" 0
"128" 0 0 1 2 6125 7611 7080 0.509 "<= 20" "Low" "> 6" "> 10" "None" ">= 1" 3.12167
"129" 0 2 0 0 10618 10604 9959.5 0.666 "> 20 and < 24" "Low" "> 6" "> 0 and <= 10" ">= 1" ">= 1" 1.52782
"130" 0 0 0 2 6525 5881 5892.83333333333 0.588 "<= 20" "High" "<= 3" "> 10" ">= 1" "None" 0
"131" 0 2 1 0 6525 5881 5970 0.354 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"132" 0 0 0 0 5302 4813 3771 0.605 ">= 24" "Low" "<= 3" "> 10" ">= 1" ">= 1" 6.52066
"133" 0 0 0 0 6283 5356 5432.5 0.331 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 5.66173
"134" 0 0 1 1 6108 5738 5738.66666666667 0.299 "<= 20" "High" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 3.13112
"135" 0 0 0 0 2076 1644 1460 0.617 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"136" 0 0 0 1 5572 4650 4642 0.28 ">= 24" "Low" "<= 3" "> 10" "None" ">= 1" 8.52557
"137" 0 2 0 0 4494 4639 7165.5 0.464 ">= 24" "Low" "<= 3" "> 10" ">= 1" "None" 0
"138" 0 0 0 2 4494 4639 7274.33333333333 0.236 ">= 24" "Low" "<= 3" "> 0 and <= 10" "None" ">= 1" 8.76507
"139" 0 0 1 0 4494 4639 7274.33333333333 0.135 ">= 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 7.8982
"140" 0 0 0 0 671 847 1275.11 0.511 "> 20 and < 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 3.36458
"141" 0 0 1 2 2621 2316 2758.66666666667 0.446 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 6.78155
"142" 0 1 0 1 2621 2316 2758.66666666667 0.494 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 9.79627
"143" 0 0 0 1 7421 6671 8966 0.716 "> 20 and < 24" "High" "> 3 and <= 6" "> 10" "None" "None" 0
"144" 0 2 0 4 7421 6671 8966 0.475 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 1.62142
"145" 0 0 1 0 7421 6671 8966 0.098 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"146" 0 0 0 0 1807 1967 1747.5 0.147 "> 20 and < 24" "High" "> 6" "> 0 and <= 10" ">= 1" ">= 1" 11.8388
"147" 0 0 1 0 2559 2124 2205 0.544 "<= 20" "Low" "<= 3" "> 10" "None" ">= 1" 9.39534
"148" 0 1 1 0 2559 2124 2085 0.632 "> 20 and < 24" "Low" "<= 3" "> 10" ">= 1" ">= 1" 10.8681
"149" 0 0 0 2 4427 1773 2453 0.596 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" ">= 1" 39.2051
"150" 0 0 0 0 4427 1773 2453 0.6 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" ">= 1" 3.27716
"151" 0 1 1 1 4427 1773 2453 0.459 "> 20 and < 24" "Low" "<= 3" "> 0 and <= 10" "None" ">= 1" 6.18425
"152" 0 1 3 1 2900 3096 3144 0.483 "<= 20" "Low" "<= 3" "> 10" "None" ">= 1" 4.96048
"153" 0 1 1 1 2900 3096 3144 0.463 "<= 20" "High" "<= 3" "> 0 and <= 10" "None" ">= 1" 1.84803
"154" 0 1 1 0 2900 3096 3144 0.7 "<= 20" "Low" "<= 3" "> 0 and <= 10" ">= 1" ">= 1" 2.53809
"155" 0 1 0 0 2277 1972 2024.5 0.26 "> 20 and < 24" "Low" "<= 3" "> 0 and <= 10" ">= 1" "None" 0
